Date,item,open,high,low,close,adj_close,volume
2015-08-06,DB하이텍,"18,550","18,850","18,550","18,650","16,753","209,021"
2015-08-07,DB하이텍,"18,750","19,000","18,300","18,750","16,843","275,126"
2015-08-10,DB하이텍,"18,750","18,850","18,300","18,500","16,618","236,268"
2015-08-11,DB하이텍,"18,700","18,800","18,300","18,550","16,663","245,084"
2015-08-12,DB하이텍,"18,300","18,600","17,700","18,500","16,618","512,816"
2015-08-13,DB하이텍,"18,550","19,300","18,500","19,000","17,068","622,068"
2015-08-14,DB하이텍,"19,000","19,000","19,000","19,000","17,068",0
2015-08-17,DB하이텍,"19,000","19,200","18,000","18,250","16,394","371,188"
2015-08-18,DB하이텍,"18,100","18,450","17,150","17,550","15,765","572,231"
2015-08-19,DB하이텍,"17,600","17,600","15,950","17,100","15,361","832,280"
2015-08-20,DB하이텍,"16,500","17,200","16,200","16,200","14,552","383,883"
2015-08-21,DB하이텍,"15,200","15,900","14,800","15,150","13,609","681,269"
2015-08-24,DB하이텍,"15,000","15,600","13,650","14,050","12,621","879,256"
2015-08-25,DB하이텍,"14,650","15,450","13,900","15,200","13,654","990,829"
2015-08-26,DB하이텍,"15,250","16,100","15,250","15,950","14,328","585,566"
2015-08-27,DB하이텍,"16,250","16,250","15,150","15,750","14,148","847,863"
2015-08-28,DB하이텍,"15,950","16,050","15,600","15,850","14,238","418,683"
2015-08-31,DB하이텍,"15,850","15,900","15,200","15,550","13,968","318,476"
2015-09-01,DB하이텍,"15,650","15,900","15,300","15,850","14,238","466,106"
2015-09-02,DB하이텍,"15,500","15,750","15,200","15,650","14,058","324,617"
2015-09-03,DB하이텍,"15,700","15,750","15,050","15,150","13,609","308,812"
2015-09-04,DB하이텍,"15,150","15,300","14,400","14,550","13,070","319,459"
2015-09-07,DB하이텍,"14,450","15,050","14,150","14,750","13,250","414,085"
2015-09-08,DB하이텍,"14,700","15,050","14,450","15,050","13,519","402,333"
2015-09-09,DB하이텍,"15,850","17,000","15,800","16,200","14,552","702,187"
2015-09-10,DB하이텍,"16,000","16,550","15,850","16,200","14,552","345,091"
2015-09-11,DB하이텍,"16,300","16,800","16,000","16,750","15,046","446,689"
2015-09-14,DB하이텍,"16,700","16,750","15,700","16,050","14,418","389,370"
2015-09-15,DB하이텍,"16,050","16,150","15,450","15,700","14,103","309,428"
2015-09-16,DB하이텍,"15,800","16,000","15,300","15,500","13,924","378,592"
2015-09-17,DB하이텍,"15,550","15,550","14,650","14,800","13,295","451,896"
2015-09-18,DB하이텍,"15,000","15,150","14,400","14,950","13,429","507,596"
2015-09-21,DB하이텍,"14,950","15,200","14,750","15,000","13,474","295,968"
2015-09-22,DB하이텍,"15,100","15,850","14,900","15,800","14,193","464,461"
2015-09-23,DB하이텍,"14,800","15,500","14,600","14,950","13,429","5,441,601"
2015-09-24,DB하이텍,"15,200","15,400","14,900","15,100","13,564","561,729"
2015-09-25,DB하이텍,"15,000","15,100","14,350","14,650","13,160","481,649"
2015-09-30,DB하이텍,"14,300","14,500","13,800","14,100","12,666","626,510"
2015-10-01,DB하이텍,"14,200","14,550","14,000","14,050","12,621","309,707"
2015-10-02,DB하이텍,"14,100","14,400","13,400","13,650","12,262","504,201"
2015-10-05,DB하이텍,"13,650","13,950","12,750","12,900","11,588","983,927"
2015-10-06,DB하이텍,"13,500","13,500","12,750","12,800","11,498","802,549"
2015-10-07,DB하이텍,"12,900","13,700","12,900","13,450","12,082","851,365"
2015-10-08,DB하이텍,"13,550","13,600","12,450","12,900","11,588","878,762"
2015-10-12,DB하이텍,"12,700","13,250","11,950","12,200","10,959","1,020,760"
2015-10-13,DB하이텍,"12,250","12,600","11,900","12,300","11,049","522,280"
2015-10-14,DB하이텍,"12,400","12,450","11,600","11,800","10,600","641,070"
2015-10-15,DB하이텍,"11,800","13,050","11,700","13,000","11,678","657,131"
2015-10-16,DB하이텍,"12,950","13,900","12,750","13,650","12,262","1,024,488"
2015-10-19,DB하이텍,"13,700","13,900","13,350","13,450","12,082","376,816"
2015-10-20,DB하이텍,"13,500","14,250","13,350","14,200","12,756","855,233"
2015-10-21,DB하이텍,"13,900","14,450","13,850","14,100","12,666","448,947"
2015-10-22,DB하이텍,"14,150","14,350","13,650","13,800","12,396","374,549"
2015-10-23,DB하이텍,"13,850","14,100","13,650","13,800","12,396","275,355"
2015-10-26,DB하이텍,"13,850","14,050","13,150","13,550","12,172","406,916"
2015-10-27,DB하이텍,"13,550","13,600","12,700","12,850","11,543","471,148"
2015-10-28,DB하이텍,"12,800","13,500","12,700","12,950","11,633","407,292"
