Date,item,open,high,low,close,adj_close,volume
2015-08-05,삼성 전자,"23,640","23,640","23,160","23,180","18,624","12,802,500"
2015-08-06,삼성 전자,"23,100","23,120","22,300","22,300","17,917","20,199,050"
2015-08-07,삼성 전자,"22,400","22,740","22,300","22,720","18,254","13,787,100"
2015-08-10,삼성 전자,"22,800","22,840","22,600","22,820","18,334","5,722,500"
2015-08-11,삼성 전자,"23,020","23,580","22,960","23,140","18,591","11,664,300"
2015-08-12,삼성 전자,"23,000","23,280","22,800","23,080","18,543","11,154,000"
2015-08-13,삼성 전자,"23,060","23,060","22,760","22,800","18,318","7,520,550"
2015-08-14,삼성 전자,"22,800","22,800","22,800","22,800","18,318",0
2015-08-17,삼성 전자,"22,800","22,820","22,080","22,080","17,740","11,360,850"
2015-08-18,삼성 전자,"22,360","22,820","22,340","22,620","18,174","11,583,600"
2015-08-19,삼성 전자,"23,380","23,520","22,820","23,080","18,543","20,070,750"
2015-08-20,삼성 전자,"23,260","23,420","22,600","22,780","18,302","10,805,950"
2015-08-21,삼성 전자,"21,980","22,560","21,920","22,020","17,692","20,442,550"
2015-08-24,삼성 전자,"21,760","22,300","20,660","21,580","17,338","22,429,600"
2015-08-25,삼성 전자,"21,580","22,140","21,340","21,580","17,338","19,625,950"
2015-08-26,삼성 전자,"21,360","21,480","21,000","21,340","17,145","27,947,600"
2015-08-27,삼성 전자,"21,640","21,720","21,260","21,340","17,145","24,769,400"
2015-08-28,삼성 전자,"21,720","21,720","21,460","21,620","17,370","23,111,150"
2015-08-31,삼성 전자,"21,420","21,780","21,040","21,780","17,499","20,415,450"
2015-09-01,삼성 전자,"21,780","21,960","21,620","21,700","17,434","12,018,600"
2015-09-02,삼성 전자,"21,380","21,900","21,300","21,800","17,515","15,634,150"
2015-09-03,삼성 전자,"22,040","22,500","21,860","22,440","18,029","15,200,350"
2015-09-04,삼성 전자,"22,440","22,880","22,360","22,580","18,141","12,570,650"
2015-09-07,삼성 전자,"22,580","22,580","22,100","22,240","17,868","9,590,250"
2015-09-08,삼성 전자,"22,260","22,720","22,120","22,620","18,174","9,116,500"
2015-09-09,삼성 전자,"22,920","22,940","22,720","22,940","18,431","12,968,800"
2015-09-10,삼성 전자,"22,600","22,780","22,360","22,680","18,222","18,128,400"
2015-09-11,삼성 전자,"22,520","22,660","22,300","22,300","17,917","10,208,350"
2015-09-14,삼성 전자,"22,400","22,480","22,200","22,480","18,061","8,353,650"
2015-09-15,삼성 전자,"22,280","22,560","22,260","22,460","18,045","11,647,800"
2015-09-16,삼성 전자,"22,420","23,140","22,420","23,040","18,511","17,188,150"
2015-09-17,삼성 전자,"23,060","23,140","22,880","23,140","18,591","13,698,000"
2015-09-18,삼성 전자,"22,900","23,840","22,700","23,800","19,122","21,813,500"
2015-09-21,삼성 전자,"23,260","23,460","23,000","23,000","18,479","10,267,950"
2015-09-22,삼성 전자,"22,860","23,000","22,600","22,900","18,399","12,533,750"
2015-09-23,삼성 전자,"22,880","22,880","22,500","22,620","18,174","9,882,450"
2015-09-24,삼성 전자,"22,520","22,700","22,500","22,520","18,093","6,636,050"
2015-09-25,삼성 전자,"22,400","22,500","22,180","22,240","17,868","10,458,000"
2015-09-30,삼성 전자,"22,000","22,680","21,800","22,680","18,222","22,946,800"
2015-10-01,삼성 전자,"22,800","22,900","22,420","22,680","18,222","12,052,050"
2015-10-02,삼성 전자,"22,240","22,660","22,240","22,380","17,981","13,715,100"
2015-10-05,삼성 전자,"22,380","22,620","22,300","22,300","17,917","12,096,750"
2015-10-06,삼성 전자,"22,600","23,100","22,540","23,020","18,495","19,149,350"
2015-10-07,삼성 전자,"23,960","25,040","23,720","25,020","20,102","39,975,100"
2015-10-08,삼성 전자,"25,000","25,580","25,000","25,400","20,407","28,533,850"
2015-10-12,삼성 전자,"25,200","25,260","24,940","25,200","20,246","18,948,700"
2015-10-13,삼성 전자,"25,200","25,440","24,960","25,040","20,118","9,900,000"
2015-10-14,삼성 전자,"24,960","25,200","24,740","25,080","20,150","8,752,550"
2015-10-15,삼성 전자,"24,880","25,640","24,860","25,380","20,391","12,425,150"
2015-10-16,삼성 전자,"25,300","25,380","25,180","25,300","20,327","7,198,400"
2015-10-19,삼성 전자,"25,140","25,300","24,980","25,120","20,182","5,853,500"
2015-10-20,삼성 전자,"25,200","25,460","25,120","25,320","20,343","7,517,350"
2015-10-21,삼성 전자,"25,300","25,640","25,180","25,400","20,407","6,978,350"
2015-10-22,삼성 전자,"25,600","25,900","25,380","25,600","20,568","11,533,650"
2015-10-23,삼성 전자,"26,000","26,000","25,560","25,780","20,712","13,153,550"
2015-10-26,삼성 전자,"25,960","25,960","25,440","25,840","20,761","7,608,250"
2015-10-27,삼성 전자,"25,640","25,980","25,620","25,960","20,857","6,612,050"
2015-10-28,삼성 전자,"25,880","26,160","25,820","26,160","21,018","13,565,150"
2015-10-29,삼성 전자,"26,600","27,840","26,480","26,500","21,291","31,523,550"
2015-10-30,삼성 전자,"26,900","27,800","26,820","27,440","22,046","25,469,250"
2015-11-02,삼성 전자,"27,700","27,860","27,480","27,660","22,223","19,327,300"
2015-11-03,삼성 전자,"27,620","27,620","27,000","27,040","21,725","15,092,000"
2015-11-04,삼성 전자,"27,040","27,220","26,520","26,600","21,371","14,053,500"
2015-11-05,삼성 전자,"26,600","27,080","26,600","26,840","21,564","8,652,100"
2015-11-06,삼성 전자,"26,860","26,960","26,600","26,760","21,500","8,216,100"
2015-11-09,삼성 전자,"26,760","26,880","26,420","26,880","21,596","9,283,050"
2015-11-10,삼성 전자,"26,720","26,820","26,280","26,420","21,227","9,877,550"
2015-11-11,삼성 전자,"26,420","26,900","26,420","26,660","21,419","7,022,450"
2015-11-12,삼성 전자,"26,660","26,680","26,340","26,340","21,162","7,870,850"
2015-11-13,삼성 전자,"26,340","26,340","26,000","26,000","20,889","8,883,850"
2015-11-16,삼성 전자,"25,820","25,820","25,260","25,260","20,295","13,785,250"
2015-11-17,삼성 전자,"25,500","25,800","25,400","25,400","20,407","9,309,200"
2015-11-18,삼성 전자,"25,440","25,800","25,440","25,620","20,584","8,386,750"
2015-11-19,삼성 전자,"25,800","25,800","25,420","25,780","20,712","9,642,500"
2015-11-20,삼성 전자,"25,780","25,920","25,560","25,700","20,648","8,436,000"
2015-11-23,삼성 전자,"25,700","26,040","25,620","25,640","20,600","9,941,000"
2015-11-24,삼성 전자,"25,640","26,100","25,640","25,980","20,873","7,978,000"
2015-11-25,삼성 전자,"26,000","26,200","25,980","25,980","20,873","7,131,350"
2015-11-26,삼성 전자,"25,980","26,800","25,980","26,700","21,452","9,290,000"
2015-11-27,삼성 전자,"26,900","26,980","26,540","26,540","21,323","8,492,700"
2015-11-30,삼성 전자,"26,500","26,500","25,680","25,680","20,632","26,700,300"
2015-12-01,삼성 전자,"25,880","26,440","25,760","26,420","21,227","12,605,650"
2015-12-02,삼성 전자,"26,420","26,440","25,880","26,000","20,889","11,481,400"
2015-12-03,삼성 전자,"25,900","25,940","25,720","25,800","20,729","8,334,750"
2015-12-04,삼성 전자,"25,500","25,600","25,340","25,380","20,391","9,635,550"
2015-12-07,삼성 전자,"25,380","25,500","25,240","25,240","20,279","9,805,350"
2015-12-08,삼성 전자,"25,240","25,440","25,240","25,240","20,279","6,916,100"
2015-12-09,삼성 전자,"25,240","25,500","25,240","25,260","20,295","9,090,600"
2015-12-10,삼성 전자,"25,260","25,860","25,260","25,660","20,616","15,193,350"
2015-12-11,삼성 전자,"25,660","25,900","25,440","25,680","20,632","10,336,450"
2015-12-14,삼성 전자,"25,460","25,460","25,100","25,220","20,263","11,140,050"
2015-12-15,삼성 전자,"25,220","25,600","25,200","25,540","20,520","8,774,700"
2015-12-16,삼성 전자,"25,560","26,200","25,560","25,980","20,873","10,398,100"
2015-12-17,삼성 전자,"26,020","26,160","25,500","25,800","20,729","8,733,850"
2015-12-18,삼성 전자,"25,300","25,760","25,280","25,560","20,536","8,418,450"
2015-12-21,삼성 전자,"25,560","25,700","25,220","25,600","20,568","8,023,300"
2015-12-22,삼성 전자,"25,600","25,840","25,340","25,840","20,761","10,309,600"
2015-12-23,삼성 전자,"25,840","25,980","25,640","25,900","20,809","10,357,400"
2015-12-24,삼성 전자,"25,900","26,000","25,700","25,700","20,648","7,807,550"
2015-12-28,삼성 전자,"25,700","25,780","25,320","25,320","20,343","11,361,500"
2015-12-29,삼성 전자,"25,300","25,320","24,820","25,080","20,473","11,647,200"
2015-12-30,삼성 전자,"25,200","25,440","25,080","25,200","20,571","10,197,900"
2016-01-04,삼성 전자,"25,200","25,200","24,100","24,100","19,673","15,346,950"
2016-01-05,삼성 전자,"24,040","24,360","23,720","24,160","19,722","10,800,100"
2016-01-06,삼성 전자,"24,160","24,160","23,360","23,500","19,184","18,337,600"
2016-01-07,삼성 전자,"23,320","23,660","23,020","23,260","18,988","14,119,400"
2016-01-08,삼성 전자,"23,260","23,720","23,260","23,420","19,118","12,888,150"
2016-01-11,삼성 전자,"23,120","23,320","22,920","23,040","18,808","12,063,850"
2016-01-12,삼성 전자,"22,960","23,320","22,880","22,920","18,710","10,314,150"
2016-01-13,삼성 전자,"23,060","23,180","22,960","22,960","18,743","7,165,800"
2016-01-14,삼성 전자,"22,620","22,840","22,620","22,760","18,580","10,451,100"
2016-01-15,삼성 전자,"22,800","23,040","22,480","22,640","18,482","10,473,200"
2016-01-18,삼성 전자,"21,760","22,660","21,760","22,520","18,384","16,010,700"
2016-01-19,삼성 전자,"22,560","23,420","22,560","23,420","19,118","10,362,100"
2016-01-20,삼성 전자,"23,200","23,200","22,640","22,760","18,580","8,352,600"
2016-01-21,삼성 전자,"22,660","23,100","22,500","22,620","18,465","9,517,600"
2016-01-22,삼성 전자,"22,900","23,360","22,900","23,360","19,069","7,376,400"
2016-01-25,삼성 전자,"23,440","23,520","23,120","23,240","18,971","7,995,650"
2016-01-26,삼성 전자,"23,100","23,140","22,720","22,740","18,563","7,619,950"
2016-01-27,삼성 전자,"22,520","23,500","22,520","23,500","19,184","13,811,850"
2016-01-28,삼성 전자,"23,280","23,360","22,780","22,900","18,694","15,795,600"
2016-01-29,삼성 전자,"22,800","23,000","22,320","23,000","18,776","21,849,150"
2016-02-01,삼성 전자,"23,040","23,260","23,020","23,260","18,988","12,998,950"
2016-02-02,삼성 전자,"23,220","23,320","22,940","23,120","18,873","8,317,400"
2016-02-03,삼성 전자,"23,000","23,040","22,740","22,920","18,710","8,725,350"
2016-02-04,삼성 전자,"23,000","23,220","22,960","23,120","18,873","12,397,950"
2016-02-05,삼성 전자,"23,120","23,380","23,120","23,280","19,004","9,404,700"
2016-02-11,삼성 전자,"22,360","22,740","22,360","22,600","18,449","15,263,100"
2016-02-12,삼성 전자,"22,600","23,020","22,440","22,600","18,449","12,811,600"
2016-02-15,삼성 전자,"23,080","23,200","22,880","23,080","18,841","9,157,300"
